tld,count
com,66
org,4
ru,4
de,3
com.br,3
co.uk,3
co.jp,3
com.sa,1
fr,1
com.au,1
com.cn,1
es,1
com.hk,1
com.tr,1
com.mx,1
co.id,1
co.in,1
ca,1
pl,1
it,1
jp,1
