tld,count
com,315
net,25
org,15
ru,13
de,9
cn,7
co.uk,7
jp,7
co.jp,6
com.cn,6
com.br,6
it,6
ne.jp,5
pl,5
fr,5
com.tr,3
us,3
es,2
cc,2
gov,2
com.au,2
nl,2
ca,2
co.in,2
tv,1
com.sg,1
vn,1
com.ua,1
co.ve,1
ie,1
com.ng,1
com.my,1
cl,1
biz,1
me,1
ch,1
com.eg,1
dk,1
com.ar,1
com.pk,1
ro,1
co.id,1
to,1
co.za,1
at,1
la,1
com.co,1
fi,1
co.th,1
co.hu,1
com.hk,1
gr,1
com.tw,1
com.mx,1
com.pe,1
fm,1
be,1
pt,1
ae,1
com.sa,1
co.il,1
ly,1
cz,1
se,1
no,1
com.ph,1
com.vn,1
