tld,count
com,683
net,51
co.jp,26
cn,24
de,22
jp,21
ru,20
com.cn,19
org,19
fr,14
ne.jp,10
co.uk,10
co.kr,10
com.br,7
it,7
pl,6
gov,5
tv,5
vn,3
nl,3
eu,3
cz,2
or.jp,2
com.au,2
co.in,2
us,2
com.tr,2
ca,2
es,1
go.jp,1
ua,1
cc,1
me,1
com.ar,1
gov.uk,1
to,1
com.tw,1
com.mx,1
fm,1
pk,1
mx,1
pt,1
info,1
ly,1
gov.br,1
com.vn,1
